free, adjective, Not imprisoned or confined
pi, noun, a math symbol denoting the ratio of the circumference of a circle to its diameter
flying, adjective, moving or capable of moving in the air
people, noun, human beings making up a group or assembly or linked by a common interest
floating, adjective, buoyed on or in a fluid
proud, adjective, feeling or showing pride
flames, noun, the glowing gaseous part of a fire
pirhana, noun, some fish that have very sharp teeth
flamingo, noun, a bright pink bird
peach, noun, edible fruit which is a single-seeded drupe with a hard central stone -- a pulpy white or yellow flesh -- and a thin fuzzy skin -- also a color
fresh, adjective,  having its original qualities unimpaired
plush, noun, a fabric with an even pile longer and less dense than velvet pile
flower, noun, the specialized part of an angiospermous plant that occurs singly or in clusters -- possesses whorls of often colorful petals or sepals
petunia, noun, of tropical South American herbs of the nightshade family that are commonly grown as annuals for their fragrant -- colorful -- trumpet-shaped flowers
fire truck, noun, an automotive vehicle equipped with firefighting apparatus
pucker, verb, to become wrinkled or constricted
